Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Exited
Hargrave,619,France,Female,42,2,0,1,Yes,101348.88,Yes
Hill,608,Spain,Female,41,1,83807.86,1,Yes,112542.58,No
Onio,502,France,Female,42,8,159660.8,3,No,113931.57,Yes
Boni,699,France,Female,39,1,0,2,No,93826.63,No
Mitchell,850,Spain,Female,43,2,125510.82,1,Yes,79084.1,No
Chu,645,Spain,Male,44,8,113755.78,2,No,149756.71,Yes
Bartlett,822,France,Male,50,7,0,2,Yes,10062.8,No
Obinna,376,Germany,Female,29,4,115046.74,4,No,119346.88,Yes
He,501,France,Male,44,4,142051.07,2,Yes,74940.5,No
H?,684,France,Male,27,2,134603.88,1,Yes,71725.73,No
Bearce,528,France,Male,31,6,102016.72,2,No,80181.12,No
Andrews,497,Spain,Male,24,3,0,2,No,76390.01,No
Kay,476,France,Female,34,10,0,2,No,26260.98,No
Chin,549,France,Female,25,5,0,2,No,190857.79,No
Scott,635,Spain,Female,35,7,0,2,Yes,65951.65,No
Goforth,616,Germany,Male,45,3,143129.41,2,Yes,64327.26,No
Romeo,653,Germany,Male,58,1,132602.88,1,No,5097.67,Yes
Henderson,549,Spain,Female,24,9,0,2,Yes,14406.41,No
Muldrow,587,Spain,Male,45,6,0,1,No,158684.81,No
Hao,726,France,Female,24,6,0,2,Yes,54724.03,No
McDonald,732,France,Male,41,8,0,2,Yes,170886.17,No
Dellucci,636,Spain,Female,32,8,0,2,No,,No
Gerasimov,510,Spain,Female,38,4,0,1,No,118913.53,Yes
Mosman,669,France,Male,46,3,0,2,Yes,8487.75,No
Yen,846,France,Female,38,5,0,1,Yes,187616.16,No
Maclean,577,France,Male,25,3,0,2,Yes,124508.29,No
Young,756,Germany,Male,36,2,136815.64,1,Yes,170041.95,No
Nebechi,571,France,Male,44,9,0,2,No,38433.35,No
McWilliams,574,Germany,Female,43,3,141349.43,1,Yes,100187.43,No
Lucciano,411,France,Male,29,0,59697.17,2,Yes,53483.21,No
Azikiwe,591,Spain,Female,39,3,0,3,No,140469.38,Yes
Odinakachukwu,533,France,Male,36,7,85311.7,1,Yes,156731.91,No
Sanderson,553,Germany,Male,41,9,110112.54,2,No,81898.81,No
Maggard,520,Spain,Female,42,6,0,2,Yes,34410.55,No
Clements,722,Spain,Female,29,9,0,2,Yes,142033.07,No
Lombardo,475,France,Female,45,0,134264.04,1,No,27822.99,Yes
Watson,490,Spain,Male,31,3,145260.23,1,Yes,114066.77,No
Lorenzo,804,Spain,Male,33,7,76548.6,1,Yes,98453.45,No
Armstrong,850,France,Male,36,7,0,1,Yes,40812.9,No
Cameron,582,Germany,Male,41,6,70349.48,2,Yes,178074.04,No
Hsiao,472,Spain,Male,40,4,0,1,No,70154.22,No
Clarke,465,France,Female,51,8,122522.32,1,No,181297.65,Yes
Osborne,556,France,Female,61,2,117419.35,1,Yes,94153.83,No
Lavine,834,France,Female,49,2,131394.56,1,No,194365.76,Yes
Bianchi,660,Spain,Female,61,5,155931.11,1,Yes,158338.39,No
Tyler,776,Germany,Female,32,4,109421.13,2,Yes,126517.46,No
Martin,829,Germany,Female,27,9,112045.67,1,Yes,119708.21,Yes
Okagbue,637,Germany,Female,39,9,137843.8,1,Yes,117622.8,Yes
Yin,550,Germany,Male,38,2,103391.38,1,Yes,90878.13,No
Buccho,776,Germany,Female,37,2,103769.22,2,No,194099.12,No
Chidiebele,698,Germany,Male,44,10,116363.37,2,No,198059.16,No
Trevisani,585,Germany,Male,36,5,146050.97,2,No,86424.57,No
O'Brien,788,France,Female,33,5,0,2,No,116978.19,No
Parkhill,655,Germany,Male,41,8,125561.97,1,No,164040.94,Yes
Yoo,601,Germany,Male,42,1,98495.72,1,No,40014.76,Yes
Phillipps,619,France,Male,43,1,125211.92,1,Yes,113410.49,No
Tsao,656,France,Male,45,5,127864.4,1,No,87107.57,No
Endrizzi,725,Germany,Male,19,0,75888.2,1,No,45613.75,No
T'ien,511,Spain,Female,66,4,0,1,No,1643.11,Yes
Velazquez,614,France,Male,51,4,40685.92,1,Yes,46775.28,No
Hunter,742,Germany,Male,35,5,136857,1,No,84509.57,No
Clark,687,Germany,Female,27,9,152328.88,2,No,126494.82,No
Jeffrey,555,Spain,Male,33,1,56084.69,2,No,178798.13,No
Pirozzi,684,Spain,Male,56,8,78707.16,1,Yes,99398.36,No
Jackson,603,Germany,Male,26,4,109166.37,1,Yes,92840.67,No
Hammond,751,Germany,Female,36,6,169831.46,2,Yes,27758.36,No
Brownless,581,Germany,Female,34,1,101633.04,1,No,110431.51,No
Chibugo,735,Germany,Male,43,10,123180.01,2,Yes,196673.28,No
Glauert,661,Germany,Female,35,5,150725.53,2,Yes,113656.85,No
Pisano,675,France,Female,21,8,98373.26,1,No,18203,No
Konovalova,738,Germany,Male,58,2,133745.44,4,No,28373.86,Yes
McKee,813,France,Male,29,6,0,1,No,33953.87,No
Palermo,657,Spain,Female,37,0,163607.18,1,Yes,,No
Ballard,604,Germany,Female,25,5,157780.84,2,Yes,58426.81,No
Wallace,519,France,Male,36,9,0,2,Yes,145562.4,No
Cavenagh,735,France,Female,21,1,178718.19,2,No,22388,No
Hu,664,France,Male,55,8,0,2,Yes,139161.64,No
Read,678,France,Female,32,9,0,1,Yes,148210.64,No
Bushell,757,Spain,Male,33,5,77253.22,1,Yes,194239.63,No
Postle,416,Germany,Female,41,10,122189.66,2,No,98301.61,No
Buley,665,France,Female,34,1,96645.54,2,No,171413.66,No
Leonard,777,France,Female,32,2,0,1,No,136458.19,Yes
Mills,543,France,Female,36,3,0,2,No,26019.59,No
Onyeorulu,506,France,Female,34,4,90307.62,1,Yes,159235.29,No
Beit,493,France,Female,46,4,0,2,No,1907.66,No
Ndukaku,652,Spain,Female,75,10,0,2,Yes,114675.75,No
Gant,750,Spain,Male,22,3,121681.82,1,No,128643.35,Yes
Rowley,729,France,Male,30,9,0,2,No,151869.35,No
Sharpe,646,France,Female,46,4,0,3,No,93251.42,Yes
